图片为著名数学家华罗庚陪同外国科学家参观中国科学院计算技术研究所的大型电子计算机。中国第一台电子管计算机于（    ）试制成功。【出题：武汉大学】,['1958年']
“六五”计划的鲜明特点是：（    ）。【出题：武汉大学】,['在重视经济发展的同时把社会发展摆到突出位置']
2005年10月，党的十六届五中全会明确提出（    ）重大战略任务。【出题：武汉大学】,['建设社会主义新农村']
"1980年5月，中共中央决定在（  ）设立经济特区，采取多种形式吸引和利用外资，学习国外的先进技术和经营管理方法。

",['深圳、珠海、汕头、厦门']
1978年12月18日至22日，党的十一届三中全会在北京召开。党中央作出把党和国家的工作重点转移到（  ）上来等一系列重大决策，实现了新中国成立以来党的历史上具有深远意义的伟大转折。从此，我国进入改革开放和社会主义现代化建设的新时期。,['社会主义现代化建设']
（    ）年4月，邓小平第一次提出了分“三步走”基本实现现代化的战略。,['1987']
科学发展观进一步走向成熟的标志是（    ）。,['党的十七大']
党的十六大报告指出，贯彻“三个代表”重要思想，关键在（    ）。【出题：武汉大学】,['坚持与时俱进']
党对军队绝对领导的根本原则和制度，定型于（    ）。,['古田会议']
1993年11月，党的十四届三中全会审议通过（    ），制定了建立社会主义市场经济体制的总体规划。【出题：武汉大学】,['《中共中央关于建立社会主义市场经济体制若干问题的决定》']
1993年，山东省滨州市工业局、纺织局、农机局等９大政府职能部门退出政府序列，转为经济实体，与财政脱钩，实行自负盈亏，233名机关干部职工不再吃“皇粮”。这体现了（    ）。【出题：武汉大学】,['政府专业主管部门转换职能，推进体制改革']
第一次世界大战结束后，对我国日益构成主要威胁的外国侵略势力是（    ）。,['日本']
2016年3月22日，习近平主持召开中央全面深化改革领导小组第二十二次会议并讲话强调，夺取全面建成小康社会决胜阶段的胜利，很关键的一条是通过（   ）推动落实新发展理念。【出题：武汉大学】,['全面深化改革']
当代中国，我们应该大力弘扬的时代精神的核心是（    ）。,['改革创新']
1983年4月，中共中央和国务院决定对（    ）实行经济特区的某些政策，给予较多的自主权。,['海南岛\r\n']
建设社会主义政治文明，最根本的是坚持（    ）的有机统一。,"['依法治国', '人民当家作主', '党的领导']"
党在新时代的强军目标是建设一支（    ）的人民军队，把人民军队建设成为世界一流军队。,"['作风优良', '能打胜仗', '听党指挥']"
邓小平指出：解放思想是（    ）。,"['在马克思主义指导下打破习惯势力和主观偏见束缚', '主观和客观相符合', '研究新情况，解决新问题', '思想和实际相符合']"
