适时开展党内集中教育活动，是解决党内突出问题、加强党的建设的重要措施， 是党保持先进性和纯洁性的成功实践。其中不忘初心、牢记使命主题教育是在（    ）正式提出的。【出题：武汉大学】,['党的十九大 ']
建设现代化经济体系，必须实施乡村振兴战略。治理有效是实施乡村振兴战略总要求的内容之一。为此，要加强农村基层基础工作，健全（    ）。【出题：武汉大学】,['自治、法治、德治相结合的乡村治理体系']
（    ） 对我国全面深化改革作出了总体部署。【出题：武汉大学】,['党的十八届三中全会  ']
全面依法治国，必须抓住党员干部这个（    ）。 【出题：武汉大学】,['关键少数']
（  ）是人民当家做主和依法治国的根本保证。,['党的领导']
19世纪后半叶，一个名叫张德彝的中国人正在法国游历，他在日记中记录下这一幕场景：“将军出令施放火器，众兵抗而不遵，倒戈相向。”人们投掷石块，士兵阵前倒戈，两个政府军将军在罗西耶街被射杀。这个场景发生在（    ）。【出题：武汉大学】,['巴黎公社时期']
习近平总书记在“不忘初心、牢记使命”主题教育总结大会上的讲话中指出，要把学习贯彻党的创新理论作为思想武装的重中之重，同学习马克思主义基本原理贯通起来，同学习党史、新中国史、改革开放史、（    ）结合起来，同新时代我们进行伟大斗争、建设伟大工程、推进伟大事业、实现伟大梦想的丰富实践联系起来，在学懂弄通做实上下苦功夫，在解放思想中统一思想，在深化认识中提高认识，切实增强贯彻落实的思想自觉和行动自觉。【出题：武汉大学】,['社会主义发展史']
（      ）是社会主义法治的根本要求，是全面推进依法治国题中应有之义。【出题：武汉大学】,['坚持党的领导']
2019年11月，习近平总书记在上海考察时强调，要扎实推进党的建设，开展主题教育不能学归学、说归说、做归做，衡量实际成效的根本标尺就是（    ）、推动事业发展。【出题：武汉大学】,['解决问题']
“四个自信”的重要论述，创造性地拓展了党的十八大提出的中国特色社会主义“三个自信”的谱系，习近平总书记在( )上明确提出：中国共产党人“坚持不忘初心、继续前进”，就要坚持“四个自信”即“中国特色社会主义道路自信、理论自信、制度自信、文化自信”。【出题：武汉大学】,['庆祝中国共产党成立95周年大会 ']
习近平总书记主持召开中央全面深化改革委员会第十五次会议，会议强调，要健全农业支持保护制度，提高政策的精准性、指向性和实效性，引导农业发展由（    ）导向转为（    ）导向。要大力实施乡村振兴战略，健全城乡融合发展体制机制和政策体系。【出题：武汉大学】,['增产、提质']
要让发展成果更多更公平地惠及全体人民，归根到底要通过（    ）来落实，共享发展才有坚实的根基。  ,['制度']
直接推动第一国际成立的事件是（    ）。【出题：武汉大学】,['1863年波兰人民反对沙皇俄国压迫的民族起义']
2019年5月，中共中央印发的《中国共产党党员教育管理工作条例》规定，党员每年集中学习培训时间一般不少于（    ）学时。【出题：武汉大学】,['32']
（    ）年11月12日，党的十八届三中全会通过《中共中央关于全面深化改革若干重大问题的决定》。决定指出，全面深化改革的总目标是完善和发展中国特色社会主义制度，推进国家治理体系和治理能力现代化。经济体制改革的核心问题是处理好政府和市场的关系，使市场在资源配置中起决定性作用和更好发挥政府作用。【出题：武汉大学】,['2013']
社会主义法治必须坚持党的领导。坚持党的领导，不是一句空的口号，必须具体体现在党（    ）上。【出题：武汉大学】,"['带头守法', '保证执法', '领导立法', '支持司法']"
解决台湾问题、实现祖国完全统一（    ）。【出题：武汉大学】,"['是中华民族根本利益所在', '是全体中华儿女的共同愿望']"
科学社会主义产生的历史背景是（    ）。【出题：武汉大学】,"['资本主义社会基本矛盾的爆发', '社会化大生产的发展', '无产阶级的发展壮大', '资本主义生产方式的确立']"
20世纪60年代形成的红旗渠精神的内涵是（    ）。,"['团结协作', '无私奉献', '自力更生', '艰苦创业']"
《共产党宣言》批判的社会主义流派有（    ）。【出题：武汉大学】,"['封建的社会主义', '小资产阶级的社会主义']"
党的十九届四中全会审议通过的《决定》对于坚持和完善中国特色社会主义制度、推进国家治理体系和治理能力现代化总体目标的设定，是对标党的十九大报告提出的新时代中国特色社会主义发展的战略安排制定的。关于《决定》设定的总体目标，以下说法错误的是（    ）。【出题：武汉大学】,['到二〇五〇年，建成富强、民主、文明、和谐、美丽的社会主义现代化强国 ']
习近平总书记在出席达沃斯世界经济论坛2017年年会开幕式并发表主旨演讲时强调：（    ）是社会生产力发展的客观要求和科技进步的必然结果。【出题：武汉大学】,['经济全球化']
健全城乡发展一体化机制，要加快构建新型农业经营体系。坚持农村土地（  ）所有权，依法维护农民土地承包权。【出题：武汉大学】,['集体']
"和平与发展成为时代主题是邓小平理论形成的（    ）。
",['时代背景']
2003年，中共中央和国务院强调（  ）是关系党和国家事业发展的关键问题。,['人才问题']
（      ）是我们现阶段战略目标，也是实现中华民族伟大复兴中国梦关键一步。【出题：武汉大学】,['全面建成小康社会']
（      ）是文化软实力的灵魂、文化软实力建设的重点，是决定文化性质和方向的最深层次要素。【出题：武汉大学】,['核心价值观']
着力解决突出环境问题。构建政府为主导、（    ）为主体、社会组织和公众共同参与的环境治理体系。【出题：武汉大学】,['企业']
习近平总书记主持召开中央全面深化改革委员会第十五次会议，会议强调，要把（    ）放在突出位置，健全粮食安全制度体系，加快转变农业发展方式，在探索现代农业发展道路上创造更多经验。【出题：武汉大学】,['保障粮食安全']
我们要牢固树立社会主义生态文明观，推动形成（    ）现代化建设新格局，为保护生态环境做出我们这代人的努力！【出题：武汉大学】,['人与自然和谐发展 ']
党的十九大提出，坚持（    ） 的发展思想，深入贯彻创新、协调、绿色、开放、共享的新发展理念。【出题：武汉大学】,['以人民为中心']
2019年3月发布的《关于加强和改进中央和国家机关党的建设意见》指出，重点强化（    ），带动廉洁纪律、群众纪律、工作纪律、生活纪律严起来，使铁的纪律成为广大党员、干部日常习惯和自觉遵循。【出题：武汉大学】,['政治纪律和组织纪律  ']
实现社会主义现代化和中华民族伟大复兴，是坚持和发展中国特色社会主义的（    ）。【出题：武汉大学】,['总任务']
2019年7月30日，中共中央政治局召开会议。会议要求，坚持房子是用来（    ）的、不是用来（    ）的定位，落实房地产长效管理机制，不将房地产作为短期刺激经济的手段。【出题：武汉大学】,['住 炒 ']
全面深化改革，要强化权力运行制约和监督体系，落实党风廉政建设责任制，（   ）负主体责任，纪委负监督责任，制定切实可行的责任追究制度。【出题：武汉大学】,['党委  ']
中国特色社会主义进入了新时代，我国经济发展也进入了新时代，基本特征就是我国经济已由高速增长阶段转向高质量发展阶段。我国经济正处在攻关期。攻关期攻关的内容是（    ）。【出题：武汉大学】,"['转变发展方式', '转换增长动力', '优化经济结构']"
建设现代化经济体系，必须加快实施创新驱动发展战略，加快建立技术创新体系，促进科技成果转化。我国要建立的技术创新体系的内容是（    ）。【出题：武汉大学】,"['以企业为主体', '以市场为导向', '产学研深度融合']"
党的十八届四中全会提出，依法保障“一国两制”实践和推进祖国统一。下列符合依法保障“一国两制”实践的要求的有（    ）。【出题：武汉大学】,"['坚持宪法的最高法律地位', '严格依照宪法和基本法办事', '全面准确贯彻“港人治港”“澳人治澳”的方针']"
2019年9月3日，习近平总书记在中央党校（国家行政学院）中青年干部培训班开班式上强调，共产党人的斗争是（  ）的，大方向就是坚持中国共产党领导和我国社会主义制度不动摇。【出题：武汉大学】,"['有方向', '有原则', '有立场']"
国家主席习近平发表二〇一九年新年贺词时指出，这一年，中国制造、中国创造、中国建造共同发力，继续改变着中国的面貌。具体表现有（   ）。【出题：武汉大学】,"['北斗导航向全球组网迈出坚实一步', '第二艘航母出海试航', '国产大型水陆两栖飞机水上首飞', '嫦娥四号探测器成功发射']"
面对权力监督这一党全面领导和长期执政的最大挑战，习近平总书记在十八届中央纪委二次全会上提出要加强对权力运行的制约和监督，（    ），形成不敢腐的惩戒机制、不能腐的防范机制、不易腐的保障机制。【出题：武汉大学】,['把权力关进制度的笼子里']
揭开空想社会主义篇章第一页的历史著作是（    ）。【出题：武汉大学】,['《乌托邦》']
巴黎公社失败后，马克思就为公社起草了总委员会关于巴黎公社的宣言（    ），对公社的事业进行了总结。【出题：武汉大学】,['《法兰西内战》']
为了与国际市场进行更深度的融合，不断提升对外开放的层次和水平，（      ）的股票交易于2014年11月17日开始。【出题：武汉大学】,['沪港通']
